dateTime,day T,night T,precipitation,pressure,huminity,wind,energy
2020-09-17,18,10,0,764,45,5,100.82427083333334
2020-09-18,20,7,1,764,41,5,101.12260416666668
2020-09-19,22,8,1,759,41,5,88.39729166666666
2020-09-20,23,8,1,757,44,4,58.74583333333334
2020-09-21,25,10,0,755,44,3,17.1640625
2020-09-22,26,12,0,750,45,3,7.3808333333333325
2019-10-09,14,9,2,748,66,6,103.65250000000002
2019-10-10,13,8,2,752,73,8,285.97364583333336
2019-10-11,15,9,2,752,77,7,49.65656250000001
2019-10-12,18,13,1,751,67,7,238.54208333333335
2019-10-13,21,12,2,752,82,2,190.42458333333335
2019-10-14,20,13,1,754,65,1,109.53333333333335
2019-10-15,23,14,2,745,57,1,75.493125
2019-10-16,14,12,2,750,73,7,160.24427083333333
2019-10-17,17,12,2,753,77,5,116.56135416666666
2019-10-18,17,11,2,749,76,7,247.06593750000002
2019-10-19,16,9,2,749,70,5,167.7775
2019-10-20,16,11,2,750,84,1,44.05052083333333
2019-10-21,18,11,1,756,67,4,63.44583333333333
2019-10-22,15,9,1,761,71,4,53.926770833333336
2019-10-23,17,8,1,757,68,3,71.33875
2019-10-24,19,11,1,748,65,3,111.79520833333333
2019-10-25,15,12,2,758,65,6,232.2564583333333
2019-10-26,18,11,1,754,61,7,372.5780208333333
2019-10-27,13,12,2,756,75,5,278.1084375
2019-10-28,12,6,2,759,68,5,82.8940625
2019-10-29,9,3,2,762,66,2,54.444791666666674
2019-10-30,8,1,0,765,54,3,63.0053125
2019-10-31,8,0,0,762,56,3,83.6621875
2020-10-01,20,10,2,746,56,5,286.25
2020-10-02,18,10,1,743,64,5,565.1827083333334
2020-10-03,21,12,2,736,67,5,460.2551041666666
2020-10-04,16,10,2,741,62,6,42.07989583333333
2020-10-05,16,8,2,745,72,3,116.23562500000001
2020-10-06,14,9,2,744,74,7,52.879687499999996
2020-10-07,15,9,2,749,75,7,139.57010416666665
2020-10-08,14,8,2,752,85,5,66.08125
2020-10-09,15,11,2,756,61,3,30.125416666666666
2019-11-09,8,5,1,749,71,3,176.42395833333333
2019-11-10,8,1,0,753,67,2,426.32447916666666
2019-11-11,9,1,1,749,60,4,184.50458333333336
2019-11-12,7,3,2,746,63,7,172.32302083333332
2019-11-13,6,2,1,745,73,4,160.93447916666668
2019-11-14,11,2,2,743,86,3,144.68072916666665
2019-11-15,10,3,1,745,78,5,182.26458333333332
2019-11-16,6,3,2,748,78,6,124.65197916666666
2019-11-17,6,2,2,753,75,3,118.69749999999999
2019-11-18,9,5,1,746,77,6,145.39177083333334
2019-11-19,9,5,1,754,75,5,163.57031250000003
2019-11-20,5,1,2,756,81,1,6.3175
2019-11-21,6,1,2,751,96,2,25.288124999999997
2019-11-22,9,3,1,750,72,1,90.48208333333332
2019-11-23,10,4,1,746,79,6,285.06364583333334
2019-11-24,8,4,1,749,83,4,113.6021875
2019-11-25,7,3,1,750,83,1,16.479479166666668
2019-11-26,9,4,1,747,83,4,80.35177083333333
2019-11-27,10,6,2,739,80,4,214.9807291666667
2019-11-28,11,8,2,735,72,8,435.85218749999996
2019-11-29,6,5,2,746,81,7,246.16677083333332
2019-11-30,6,0,1,759,79,4,54.306875
2020-11-01,15,11,2,751,85,4,241.37041666666667
2020-11-02,19,14,2,750,71,8,626.8850000000001
2020-11-03,11,8,1,760,58,3,335.2859375
2020-11-04,10,5,1,765,77,5,32.951458333333335
2020-11-05,10,4,1,770,74,4,266.6269791666666
2020-11-06,12,7,1,768,68,0,55.61729166666667
2020-11-07,14,5,0,762,49,2,56.02885416666667
2020-11-08,14,6,1,761,60,1,105.07593750000001
2020-11-09,12,6,1,761,68,2,22.286041666666666
2019-06-09,23,10,2,760,45,2,120.78000000000002
2019-06-10,25,16,4,752,73,2,158.5028125
2019-06-11,23,14,2,750,73,3,33.208333333333336
2019-06-12,23,20,4,749,87,4,438.43322916666665
2020-06-01,21,6,0,761,56,4,113.42770833333333
2020-06-02,24,9,1,757,55,3,90.16531249999998
2020-06-03,25,12,4,746,62,2,266.1453125
2020-06-04,21,16,2,736,94,1,105.78479166666666
2020-06-05,20,7,2,736,58,5,62.203854166666666
2020-06-06,16,6,2,741,73,7,166.31427083333335
2020-06-07,18,8,2,748,62,6,284.285625
2020-06-08,19,7,2,752,58,2,29.518645833333334
2020-06-09,20,9,2,755,65,2,58.556145833333325
2020-06-13,26,16,4,750,73,3,86.25104166666665
2020-06-14,21,18,2,752,91,3,65.63250000000001
2020-06-15,23,13,2,754,60,2,49.5715625
2020-06-16,23,13,2,754,74,0,11.273854166666668
2020-06-17,24,15,4,751,68,3,27.960625000000004
2020-06-18,24,15,4,750,75,1,39.6590625
2020-06-19,22,13,2,753,73,5,59.5003125
2020-06-20,20,13,2,757,69,5,75.59677083333334
2020-06-21,23,11,1,757,56,2,18.356979166666665
2020-06-22,22,14,0,760,59,5,51.441875
2020-06-23,23,10,0,762,50,2,21.377291666666668
2020-06-24,23,12,1,761,55,3,57.12031249999999
2020-06-25,25,14,4,758,70,4,77.5528125
2020-06-26,29,15,0,754,58,5,62.17083333333333
2020-06-27,30,16,4,750,65,4,61.972500000000004
2020-06-28,24,16,2,753,71,5,104.93052083333333
2020-06-29,24,12,2,751,62,5,144.32125
2020-06-30,22,10,1,750,63,7,236.89333333333335
2019-07-09,18,11,2,757,69,6,32.2184375
2019-07-10,20,8,1,757,67,4,67.6978125
2019-07-11,24,16,2,753,69,1,111.14458333333333
2019-07-12,24,15,4,750,73,4,400.30177083333336
2020-07-01,24,15,2,748,91,4,203.0796875
2020-07-02,26,13,2,750,61,6,111.88364583333333
2020-07-03,21,11,2,754,65,6,156.67802083333333
2020-07-04,19,13,2,755,72,6,54.449062500000004
2020-07-05,22,17,2,750,77,8,31.791354166666665
2020-07-06,18,11,2,752,66,9,123.8703125
2020-07-07,19,9,2,756,57,5,90.17447916666667
2020-07-08,15,11,2,754,93,3,25.945624999999996
2020-07-09,17,11,2,753,95,3,41.675312500000004
2020-07-13,21,9,1,760,55,2,13.416770833333336
2020-07-14,23,12,2,754,58,3,29.767916666666668
2020-07-15,20,13,2,752,73,3,22.750937500000003
2020-07-16,21,10,2,755,56,3,7.419375
2020-07-17,22,11,2,757,53,2,5.545208333333332
2020-07-18,24,12,1,757,53,0,7.852395833333333
2020-07-19,25,15,2,754,51,2,29.784999999999997
2020-07-20,21,15,2,757,75,4,58.88239583333333
2020-07-21,20,9,2,759,55,5,53.90416666666667
2020-07-22,20,9,1,759,54,3,28.5
2020-07-23,21,11,1,756,49,3,22.12302083333333
