Month,Device,Place,BannerType,QueryType,TargetingType,Shows,Clicks,Cost,Conversions
6/1/2021,Desktop,Search,text,Other,Phrase,15,5,304,0
6/1/2021,Mobile,Search,text,Brand,Phrase,18673,4021,415608,359
6/1/2021,Mobile,Search,text,Competitor,Phrase,0,0,0,0
6/1/2021,Mobile,Search,text,Other,Phrase,3,0,0,0
6/1/2021,Desktop,Networks,text,none,Phrase,68446090,83141,1499274,43
6/1/2021,Desktop,Networks,text,none,Retargeting,4615053,1368,130923,10
6/1/2021,Desktop,Search,text,Brand,Phrase,404839,31104,1945991,1481
6/1/2021,Desktop,Search,text,Competitor,Phrase,310540,3056,1815449,135
6/1/2021,Desktop,Search,text,Other,Phrase,540004,17769,6728927,694
6/1/2021,Mobile,Networks,text,none,Phrase,333734,6681,31165,4
6/1/2021,Mobile,Networks,text,none,Retargeting,586319,3182,98561,11
6/1/2021,Mobile,Search,text,Brand,Phrase,977975,9942,1037706,556
6/1/2021,Mobile,Search,text,Competitor,Phrase,97521,2028,1442777,89
6/1/2021,Mobile,Search,text,Other,Phrase,386373,14583,5106815,529
6/1/2021,Desktop,Networks,text,none,Phrase,47989085,25307,632225,73
6/1/2021,Desktop,Networks,text,none,Retargeting,111820,175,5312,2
6/1/2021,Desktop,Search,text,Brand,Phrase,16819,5995,557152,607
6/1/2021,Desktop,Search,text,Competitor,Phrase,57946,1210,632655,63
6/1/2021,Desktop,Search,text,Other,Phrase,53555,2255,980773,99
6/1/2021,Mobile,Networks,text,none,Phrase,36672816,424002,3223291,215
6/1/2021,Mobile,Networks,text,none,Retargeting,3752,75,1167,5
6/1/2021,Mobile,Search,text,Brand,Phrase,7979,2616,288086,201
6/1/2021,Mobile,Search,text,Competitor,Phrase,19208,533,339270,23
6/1/2021,Mobile,Search,text,Other,Phrase,22645,899,452850,39
6/1/2021,Desktop,Networks,text,none,Phrase,2733257,3715,140186,8
6/1/2021,Desktop,Networks,text,none,Retargeting,84245,100,2171,0
6/1/2021,Desktop,Search,text,Brand,Phrase,13907,4806,669652,278
6/1/2021,Desktop,Search,text,Competitor,Phrase,5983,98,27461,7
6/1/2021,Desktop,Search,text,Other,Phrase,71204,2699,1096372,134
6/1/2021,Mobile,Networks,text,none,Phrase,106005,657,10759,2
6/1/2021,Mobile,Networks,text,none,Retargeting,89307,647,8599,2
6/1/2021,Mobile,Search,text,Brand,Phrase,2353,952,241176,70
6/1/2021,Mobile,Search,text,Competitor,Phrase,2260,26,8927,0
6/1/2021,Mobile,Search,text,Other,Phrase,31864,793,376503,23
6/1/2021,Desktop,Networks,text,none,Phrase,0,0,0,0
6/1/2021,Desktop,Networks,text,none,Retargeting,0,0,0,0
6/1/2021,Desktop,Search,text,Brand,Phrase,51177,15594,1573070,1593
6/1/2021,Desktop,Search,text,Competitor,Phrase,85437,1370,1038270,58
6/1/2021,Desktop,Search,text,Other,Phrase,123198,4686,2711202,138
6/1/2021,Mobile,Networks,text,none,Phrase,0,0,0,0
6/1/2021,Mobile,Search,text,Brand,Phrase,32742,8463,883204,347
6/1/2021,Mobile,Search,text,Competitor,Phrase,35662,857,725859,18
6/1/2021,Mobile,Search,text,Other,Phrase,74866,3279,2361372,67
6/1/2021,Desktop,Networks,text,none,Phrase,0,0,0,0
6/1/2021,Desktop,Networks,text,none,Retargeting,1593621,2421,246624,31
6/1/2021,Desktop,Search,text,Brand,Phrase,95017,22246,2291153,1368
6/1/2021,Desktop,Search,text,Competitor,Phrase,289856,4475,790207,172
6/1/2021,Desktop,Search,text,Other,Phrase,577464,20023,2332183,749
6/1/2021,Mobile,Networks,text,none,Phrase,0,0,0,0
6/1/2021,Mobile,Networks,text,none,Retargeting,297120,1979,71387,6
